RPM,MAP,FGP,MAF
2033.75,122,48680,31.16
2015,121,48240,30.3
2016,120,47970,30.43
2014,119,47630,29.78
2010.25,119,47600,29.99
2009.75,118,47370,30.52
2007.25,118,46990,29.03
2004.75,117,46620,28.38
1992.75,117,46040,29.41
1992,116,45730,28.95
1982.5,116,45090,29.22
1971.25,115,44850,28.57
1967.5,114,44780,28.03
1964.5,114,44700,27.76
1960.75,114,44460,28.21
1949.25,113,42470,27.54
1918.75,112,42400,26.61
1904.25,111,42300,26.17
1884.75,110,40940,25.67
1842,109,39950,25.17
1812.25,107,39790,24.35
1780.25,107,39360,23.68
1749,106,38810,24.07
1728.75,105,38760,23.07
1712.5,105,38750,23.25
1701,105,38620,23
1676,104,37400,22.57
1628.75,103,36350,22.04
1555.25,102,35490,20.54
1494,100,35080,19.78
1449,99,35100,19.01
1439.75,99,35350,19.42
1437,99,34540,19.1
1409,98,33980,18.67
1363,98,34120,18.34
1351.75,97,33860,17.82
1310,96,32660,16.92
1264.75,96,31670,16.06
1210.75,94,30360,15.46
1172.75,93,30910,14.82
1170.25,93,31120,14.6
1149.5,92,28810,14.12
1047.5,91,25230,12.63
1053,91,27400,12.69
866.25,90,23530,10.11
893.25,88,23830,10.17
890.75,88,24680,10.32
900.25,87,24940,10.06
901.5,87,24720,10.16
900,87,24740,10.55
901,87,24820,10.45
904.25,87,24140,10.44
1160,88,32030,14.16
1235.5,90,29730,15.55
952.75,91,24160,11.23
1049.5,90,26460,12.8
911.5,90,25790,10.36
996.25,89,24770,11.77
1052,89,26240,12.65
1065.25,89,26850,12.95
1100.25,90,30360,13.55
1171.25,90,29590,14.45
1164.25,91,31910,14.51
1169,91,29140,14.68
1167,92,30120,14.58
1197.25,92,30180,15.22
1211.25,92,33130,15.67
1321.75,93,34110,17.35
1356,95,33810,17.75
1369.25,96,34860,18.16
1374.75,97,34030,18.31
1379.25,97,33760,18.41
1385.75,97,34940,18.55
1399.25,98,35670,18.8
1431.75,98,36580,19
1448.25,99,36960,19.55
1466.5,99,35820,19.86
1475.75,100,36180,19.79
1484,100,35710,20.28
